expr,hash,ic_mean,oos_ic_mean,ls_sharpe,oos_ls_sharpe,oos_long_excess_annual,oos_monotonicity,ic_retention
"add(add(rank_cs(adj_close), rank_cs(skew(adj_close, 40))), rank_cs(std(zscore(log_amount), 5)))",fce563de5b1530cf,0.0476064185652119,0.0558254522240535,2.410781014415163,2.237304018551875,0.0098412338764666,0.9515151515151514,1.1726454941697213
"add(rank_cs(std(rank_cs(log_amount), 20)), add(zscore(down_shadow), roc(rank_cs(log_mv), 60)))",e9cf011343d21e46,0.0477905029356871,0.0535889544247531,2.0458102191679237,1.6205827067602931,-0.0242009051033008,0.7939393939393938,1.121330622882733
"add(max(skew(ret, 120), 20), add(roc(rank_cs(log_mv), 60), rank_cs(log_mv)))",3085e3e6693cb265,0.0436273346805335,0.0519126022530183,3.1550483395984115,2.320526139653245,0.0407194446167149,0.9393939393939392,1.1899100101611682
"sub(sub(rank_cs(ma(overnight, 10)), rank_cs(skew(adj_close, 40))), rank_cs(ma(intraday, 10)))",ad2aaa85584190ad,0.0462220758810024,0.0514971507468985,3.2192680750270526,2.267326810925085,0.0147693084767308,0.9636363636363636,1.1141245771712343
"add(add(max(skew(ret, 120), 20), zscore(skew(adj_close, 60))), zscore(skew(rank_cs(overnight), 80)))",1296c5d177b38f89,0.0460543270614762,0.0514248084933372,3.7399789769551584,2.609383514609014,0.0540206727963361,0.9515151515151514,1.116611875029509
"add(add(rank_cs(ma(intraday, 120)), zscore(rank_cs(log_mv))), zscore(skew(adj_close, 80)))",0bb21f84929802b4,0.0442778263920074,0.0508270398901543,3.0945746862367267,2.3141257352657947,0.0769458202204729,1.0,1.1479118112114262
"add(add(max(skew(adj_high, 120), 20), rank_cs(log_mv)), roc(rank_cs(log_mv), 60))",e118ef1dfc791c87,0.0352099479779881,0.0500585776519225,2.6165018604572783,2.864955367217626,0.0743982470855131,1.0,1.4217168876028217
"rank_cs(zscore(mul(min(overnight, 20), skew(intraday, 80))))",ef733a461c7e6a7e,0.0424725168152164,0.0478044969094127,2.934584508028875,2.141136576908729,0.0438394357219353,0.9030303030303028,1.125539536952659
"add(add(rank_cs(ma(intraday, 120)), zscore(rank_cs(hl_ratio))), zscore(skew(adj_close, 80)))",4418acf23fa22ff4,0.0403749896543787,0.0419876176504876,3.276918507064245,2.4154125261516457,-0.0036602275680374,0.9757575757575756,1.0399412609121006
"ma(zscore(std(log_amount, 20)), 250)",89b5f90fdcdbc4b7,0.032835328435223,0.0403012903191758,2.03233025551278,2.280830520413464,0.0774667179565087,0.9151515151515152,1.2273758856617356
"ma(zscore(std(zscore(log_amount), 5)), 250)",483ff8cbe7c387c8,0.0311435336681173,0.0394605708209421,1.9956236014249435,1.3768653154557975,0.0325771385717861,0.7939393939393938,1.267055024694877
"add(add(rank_cs(skew(adj_close, 40)), rank_cs(std(skew(up_shadow, 40), 20))), rank_cs(sub(down_shadow, overnight)))",010b57b08004fc51,0.0376961811690969,0.0389742637034303,2.3363237659113745,1.849402321672306,-0.0293074495906888,0.9272727272727272,1.0339048278816414
"std(mul(min(log_volume, 20), rank_cs(zscore(log_volume))), 80)",f5a4e96259ead71c,0.030972303393086,0.0375196089096898,2.029070597419334,3.563467380915387,0.0878454634810848,0.7939393939393938,1.2113922698453665
"ma(zscore(std(amplitude, 20)), 250)",46f66a7f836179d7,0.0449610486007958,0.0328772895498584,1.570937095234501,0.0803923668337695,-0.0470097256880119,-0.3575757575757575,0.7312393854905884
